species,individuals,ID,date,notes
macaque_sp,1,49,05/11/2021,
frogs,2,7,11/11/2021,
birds,2,7,04/11/2021,
birds,4,50,11/11/2021,
birds,20,1,12/11/2021,
birds,6,12,10/11/2021,
flying_squirrel,1,51,12/11/2021,
birds,5,3,04/11/2021,
birds,20,52,07/11/2021,
birds,4,39,11/11/2021,
flying_squirrel,1,5,11/11/2021,
birds,6,7,12/11/2021,
barking_deer,1,3,16/11/2021,
barking_deer,2,3,18/11/2021,
flying_squirrel,1,7,29/11/2021,
frogs,150,53,19/11/2021,
frogs,180,50,18/11/2021,
flying_squirrel,1,4,28/11/2021,
wild_boar,1,54,01/11/2021,
serow,1,54,01/11/2021,
assamese_macaque,2,54,08/11/2021,
kalij_pheasant,1,55,01/11/2021,
assamese_macaque,1,55,01/11/2021,
himalayan_palm_civet,1,54,01/11/2021,
macaque_sp,2,54,13/10/2021,
macaque_sp,1,56,08/11/2021,
birds,7,57,07/12/2021,
birds,2,58,16/12/2021,
fish,1,59,04/12/2021,
frogs,1,60,07/12/2021,
flying_squirrel,1,61,08/12/2021,
birds,7,58,18/12/2021,
barking_deer,1,62,23/12/2021,
civet,1,55,28/12/2021,
birds,28,63,28/12/2021,
giant_squirrel,1,54,28/12/2021,
bamboo_partridge,2,15,29/12/2021,
birds,3,64,31/12/2021,
giant_squirrel,1,58,31/12/2021,
flying_squirrel,2,58,31/12/2021,
birds,9,64,05/12/2021,
birds,7,57,31/12/2021,
flying_squirrel,1,64,04/12/2021,
birds,17,65,15/12/2021,
kalij_pheasant,1,66,18/12/2021,
birds,21,67,17/12/2021,
barking_deer,1,68,07/12/2021,
barking_deer,1,54,18/12/2021,
birds,1,11,18/12/2021,
birds,2,15,01/12/2021,
birds,10,24,01/12/2021,
birds,10,69,01/12/2021,
birds,8,54,18/12/2021,
birds,6,70,01/12/2021,
birds,1,71,01/12/2021,
birds,6,55,01/12/2021,
birds,20,13,01/12/2021,
birds,30,72,21/12/2021,
birds,22,31,01/12/2021,
birds,25,73,21/12/2021,
birds,60,74,31/12/2021,
birds,30,15,31/12/2021,
birds,40,10,23/12/2021,
birds,30,59,21/12/2021,
birds,25,75,21/12/2021,
birds,10,76,27/12/2021,
birds,10,77,20/12/2021,
birds,4,78,31/12/2021,
birds,6,79,08/12/2021,
birds,12,80,20/12/2021,
birds,30,81,03/12/2021,
birds,35,82,23/12/2021,
birds,10,38,24/12/2021,
birds,30,69,21/12/2021,
birds,10,71,23/12/2021,
birds,30,65,31/12/2021,
birds,20,83,23/12/2021,
birds,60,31,22/12/2021,
birds,5,58,31/12/2021,
birds,6,84,31/12/2021,
birds,50,73,18/12/2021,
birds,16,85,23/12/2021,
birds,44,32,27/12/2021,
birds,10,86,01/12/2021,
fish,12,74,01/12/2021,
flying_squirrel,1,74,01/12/2021,
